MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
02:6f:fe:0d:fd:57,28074109,-71.0,2.51188643150958,-90.0,22.3872113856834,2023,05,18,Thursday,22,49,-1.0,-1.0,PC,Zona Estudo
02:72:c6:16:4c:15,28074170,-94.0,36.42609426387042,-91.5,30.25864556985372,2023,05,18,Thursday,23,50,29.704669474896647,21.083001558305607,PC,Zona Estudo
02:75:ca:b8:11:45,28075035,-73.0,3.1622776601683795,-80.0,7.079457843841379,2023,05,19,Friday,14,15,-1.0,-1.0,PC,Zona Estudo
02:79:f7:f4:10:21,28076279,-74.0,3.548133892335755,-82.0,8.912509381337454,2023,05,20,Saturday,10,59,-0.17772308465540812,3.5436800960473622,PC,Zona Estudo
02:83:eb:e1:4c:26,28076283,-74.0,3.548133892335755,-81.0,7.943282347242816,2023,05,20,Saturday,11,03,-1.0,-1.0,PC,Zona Estudo
02:97:7b:d0:20:b6,28076221,-87.0,15.848931924611133,-91.0,25.285520349163967,2023,05,20,Saturday,10,01,-1.0,-1.0,PC,Zona Estudo
02:98:b1:e2:53:e1,28075162,-86.0,14.12537544622754,-84.5,11.904719330480656,2023,05,19,Friday,16,22,7.612743072460506,11.898418987814829,PC,Zona Estudo
02:9a:32:df:f5:63,28075223,-92.0,28.183829312644534,-94.0,35.48133892335755,2023,05,19,Friday,17,23,-25.03732356686785,12.940659308251835,PC,Cabines de Estudo
02:9d:a1:b8:c3:d2,28076212,-87.0,15.848931924611133,-92.0,28.183829312644534,2023,05,20,Saturday,09,52,-1.0,-1.0,PC,Zona Estudo
02:9f:db:c3:ca:5a,28074087,-82.0,8.912509381337454,-89.0,19.9526231496888,2023,05,18,Thursday,22,27,-1.0,-1.0,PC,Zona Estudo
02:a4:51:c7:81:12,28075082,-81.0,7.943282347242816,-82.0,8.912509381337454,2023,05,19,Friday,15,02,2.9789319359744493,7.363538481521697,PC,Zona Estudo
02:a7:dc:af:ed:40,28075150,-71.25,2.5885105564482984,-76.0,4.521927752000969,2023,05,19,Friday,16,10,-1.0,-1.0,PC,Zona Estudo
02:b0:a5:84:a8:47,28075183,-73.0,3.1622776601683795,-78.5,6.04566509005705,2023,05,19,Friday,16,43,-1.0,-1.0,PC,Zona Estudo
02:b5:68:bb:13:4d,28075280,-67.0,1.5954084773308386,-92.0,28.370820458389794,2023,05,19,Friday,18,20,-1.0,-1.0,PC,Zona Estudo
02:b7:8a:01:a8:57,28075275,-76.0,4.466835921509632,-95.0,39.81071705534973,2023,05,19,Friday,18,15,-1.0,-1.0,PC,Zona Estudo
02:b9:da:05:8e:a5,28074143,-78.0,5.623413251903491,-93.0,31.622776601683796,2023,05,18,Thursday,23,23,-1.0,-1.0,PC,Zona Estudo
02:bd:b3:a1:c6:0d,28075059,-72.0,2.8183829312644537,-77.0,5.011872336272722,2023,05,19,Friday,14,39,-1.0,-1.0,PC,Zona Estudo
02:cb:06:ea:af:c7,28073943,-83.0,10.0,-95.0,39.81071705534973,2023,05,18,Thursday,20,03,-1.0,-1.0,PC,Zona Estudo
02:cc:53:4c:32:e2,28075038,-78.0,5.623413251903491,-76.0,4.466835921509632,2023,05,19,Friday,14,18,-1.0,-1.0,PC,Zona Estudo
02:cc:cf:22:87:ca,28075098,-87.0,15.848931924611133,-94.0,35.71674682851676,2023,05,19,Friday,15,18,-1.0,-1.0,PC,Zona Estudo
02:d0:3e:30:6c:f5,28073954,-91.5,26.651346813870163,-86.5,14.987153685419337,2023,05,18,Thursday,20,14,-1.0,-1.0,PC,Zona Estudo
02:d0:3e:30:6c:f5,28074152,-91.33333333333333,26.850942129380712,-86.0,14.12537544622754,2023,05,18,Thursday,23,32,-1.0,-1.0,PC,Zona Estudo
02:d6:38:57:3b:aa,28075138,-74.0,3.548133892335755,-76.0,4.466835921509632,2023,05,19,Friday,15,58,-1.0,-1.0,PC,Zona Estudo
02:da:f6:85:90:f5,28076345,-62.0,0.8912509381337456,-94.0,35.48133892335755,2023,05,20,Saturday,12,05,-1.0,-1.0,PC,Zona Estudo
02:e5:f5:21:7f:38,28075130,-91.0,25.118864315095795,-92.0,28.183829312644534,2023,05,19,Friday,15,50,-6.21068064025567,24.33895623203564,PC,Zona Estudo
02:e6:35:33:78:83,28075604,-88.0,18.854059216518735,-90.5,23.753037850389596,2023,05,19,Friday,23,44,-9.045703636377867,16.54239386131328,PC,Zona Estudo
02:ed:2d:7b:ad:52,28076311,-76.4,4.757580887590086,-92.0,28.183829312644534,2023,05,20,Saturday,11,31,-1.0,-1.0,PC,Zona Estudo
02:ed:f7:80:fc:f1,28075256,-65.5,1.3357314782084608,-95.0,39.81071705534973,2023,05,19,Friday,17,56,-1.0,-1.0,PC,Zona Estudo
02:f9:d2:d4:23:f1,28075166,-81.0,7.943282347242816,-95.5,42.80003114304239,2023,05,19,Friday,16,26,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075052,-84.33333333333333,12.669145764674733,-87.14285714285714,16.275814966265536,2023,05,19,Friday,14,32,-2.5246811505960935,12.415040857540522,PC,Estatistica Socialogia Politica e Direito
04:b4:29:0e:f3:3b,28075062,-79.0,6.351435547872435,-86.5,14.987153685419337,2023,05,19,Friday,14,42,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075063,-82.0,8.912509381337454,-88.0,17.78279410038923,2023,05,19,Friday,14,43,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075068,-82.0,8.912509381337454,-84.0,11.220184543019636,2023,05,19,Friday,14,48,1.0962676433132135,8.84483016946355,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075091,-79.0,6.309573444801933,-84.5,14.348392415242667,2023,05,19,Friday,15,11,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075096,-84.0,11.220184543019636,-86.5,14.987153685419337,2023,05,19,Friday,15,16,-2.1701396506850785,11.008316632253145,PC,Estatistica Socialogia Politica e Direito
04:b4:29:0e:f3:3b,28075101,-76.0,4.466835921509632,-90.0,23.735854263147466,2023,05,19,Friday,15,21,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075103,-79.0,6.309573444801933,-87.0,15.848931924611133,2023,05,19,Friday,15,23,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075106,-74.5,3.764602798935363,-84.5,12.06268772311377,2023,05,19,Friday,15,26,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075116,-88.0,17.78279410038923,-88.0,17.78279410038923,2023,05,19,Friday,15,36,3.999999999999992,17.32708186674369,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075119,-77.0,5.011872336272722,-86.0,14.12537544622754,2023,05,19,Friday,15,39,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075123,-82.0,9.149821193430508,-91.0,25.118864315095795,2023,05,19,Friday,15,43,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075127,-80.5,7.811706625951746,-89.0,20.085002743036313,2023,05,19,Friday,15,47,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075132,-83.83333333333333,11.839771422640473,-91.0909090909091,25.942774595967002,2023,05,19,Friday,15,52,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075133,-84.75,12.438128597933552,-92.33333333333333,29.330145075657622,2023,05,19,Friday,15,53,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075140,-80.0,7.079457843841379,-91.0,25.118864315095795,2023,05,19,Friday,16,00,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075142,-80.0,7.079457843841379,-89.5,21.785246988037763,2023,05,19,Friday,16,02,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075145,-80.0,7.843510232264634,-88.0,19.702006927832084,2023,05,19,Friday,16,05,-1.0,-1.0,PC,Zona Estudo
04:b4:29:0e:f3:3b,28075170,-81.0,7.943282347242816,-85.0,12.589254117941676,2023,05,19,Friday,16,30,-1.962099049880756,7.6971359456928115,PC,Zona Estudo
